id,lat,lng,planningArea,tap_in,tap_out,deficit,avg_flow,pop_multiplier,pop_estimate
53309,1.34849137843448,103.8452725001234,BISHAN,3001,4546,-1545,3773,0.0004950814647168182,43
53419,1.34639996494893,103.84980877522956,BISHAN,13147,14941,-1794,14044,0.0018428105196085327,160
53409,1.34534609724691,103.85126805621526,BISHAN,42001,10229,31772,26115,0.0034267300426927393,299
53281,1.34665638902153,103.85432083296934,BISHAN,182193,69367,112826,125780,0.016504465049584253,1441
53271,1.3493461110909,103.85391500001569,BISHAN,94750,41953,52797,68351,0.008968808161902793,783
53279,1.34970265350038,103.85391302825673,BISHAN,51634,97629,-45995,74631,0.009792850462041043,855
53289,1.347206111,103.8545811,BISHAN,59938,163567,-103629,111752,0.014663754000804097,1280
53401,1.3454166669782,103.85048888897714,BISHAN,21386,47952,-26566,34669,0.004549159634314171,397
53221,1.34816840593896,103.8484543562104,BISHAN,163717,37671,126046,100694,0.013212757224541554,1153
53301,1.348611,103.845924,BISHAN,3517,2097,1420,2807,0.000368325913453514,32
53311,1.34684500003106,103.84162388899554,BISHAN,17740,10689,7051,14214,0.0018651173971600459,162
53121,1.35016694219359,103.83947418569129,BISHAN,216067,83346,132721,149706,0.019643961239569567,1715
53291,1.35231394964571,103.8371139764859,BISHAN,24965,21417,3548,23191,0.0030430517488067134,265
53269,1.35335792415265,103.8511190167485,BISHAN,11715,27616,-15901,19665,0.002580380865002976,225
83331,1.32349513640884,103.91271655859842,BEDOK,1966,836,1130,1401,5.705489010295577e-05,7
83341,1.32539968158209,103.91109803643086,BEDOK,10606,14278,-3672,12442,0.0005066930354468064,68
83351,1.32765583299859,103.91213111102074,BEDOK,11473,12329,-856,11901,0.0004846611328445943,65
83361,1.32850781433023,103.914495706562,BEDOK,47071,56670,-9599,51870,0.0021123748391436944,283
83371,1.32624566683557,103.91537946119738,BEDOK,10036,7526,2510,8781,0.0003576009921442217,47
83381,1.32466780744529,103.91452207182714,BEDOK,2047,1956,91,2001,8.148953254533512e-05,10
83251,1.31923829366992,103.92199914721091,BEDOK,2970,6178,-3208,4574,0.00018627342421907188,24
83261,1.3190690667828,103.9242469847813,BEDOK,7664,16122,-8458,11893,0.0004843353376120293,65
83271,1.31928964158986,103.92588543589487,BEDOK,2634,10749,-8115,6691,0.00027248698763660033,36
83281,1.31965172299504,103.9270176945798,BEDOK,4647,4672,-25,4659,0.00018973499856507562,25
83279,1.3188308339316,103.92510530820441,BEDOK,16387,1698,14689,9042,0.0003682300616066567,49
83269,1.31895097253228,103.92346501346623,BEDOK,4424,341,4083,2382,9.700553049624601e-05,13
83229,1.31661259109687,103.92083645128875,BEDOK,5888,5012,876,5450,0.00022194800218494572,29
83219,1.31587375170111,103.9191305648774,BEDOK,12618,4108,8510,8363,0.0003405781912426975,45
54601,1.35942138902131,103.85514583300495,ANG MO KIO,24936,53248,-28312,39092,0.002319246141773383,376
54581,1.37105833303092,103.85665833302312,ANG MO KIO,39249,106716,-67467,72982,0.004329868564384147,702
54571,1.37425472964633,103.85491933752174,ANG MO KIO,80510,181530,-101020,131020,0.007773141038963181,1261
54251,1.37689002832989,103.84617199453344,ANG MO KIO,1592,10731,-9139,6161,0.00036551917219548283,59
55181,1.38143251435794,103.84389230276943,ANG MO KIO,94560,59599,34961,77079,0.00457293495758085,742
55189,1.382955556,103.844225,ANG MO KIO,74549,237830,-163281,156189,0.009266364873566022,1503
54259,1.3772094440158,103.84628222196814,ANG MO KIO,9359,758,8601,5058,0.00030008050202317025,48
54579,1.37487817367914,103.85483080978989,ANG MO KIO,124659,55969,68690,90314,0.005358139671751799,869
75209,1.35145000000178,103.93361000002287,TAMPINES,15698,20179,-4481,17938,0.0007487054382944509,194
84299,1.33800081413595,103.94750053856653,TAMPINES,0,20,-20,10,4.1738512559619293e-07,0
28069,1.33644240098532,103.74255737341373,JURONG EAST,36942,39180,-2238,38061,0.00371194611558361,291
28061,1.33596390763107,103.74254813709638,JURONG EAST,132345,80461,51884,106403,0.010377084221025273,815
78129,1.375132,103.962121,PASIR RIS,23895,21714,2181,22804,0.0021502685431195132,155
